index,city,district,min_booking_duration,first_pic_category,beds,rooms,deposit,area,price,accommodates,number_of_pics,cleaning_fee,clicks
25923,141,893,1,ROOM_BEDROOM,2,2,2250.0,67.0,2250.0,3,26,100.0,516
32929,822,923,1,KITCHEN,2,3,1200.0,60.0,2230.0,2,10,50.0,80
7768,465,568,3,LIVING_DINING_ROOM,1,1,1590.0,10.0,890.0,1,7,0.0,2033
6610,141,496,1,LIVING_DINING_ROOM,1,2,1200.0,59.0,1200.0,2,31,300.0,222
17333,298,383,1,,1,1,500.0,0.0,820.0,0,,0.0,0
21887,895,989,1,KITCHEN,4,3,400.0,58.0,1200.0,4,10,50.0,123
32411,141,287,4,LIVING_DINING_ROOM,2,3,4500.0,80.0,2700.0,2,38,250.0,2012
18690,822,923,3,KITCHEN,1,1,2000.0,44.0,1260.0,2,17,0.0,748
11826,141,1052,3,LIVING_DINING_ROOM,1,1,3000.0,43.0,1500.0,1,28,0.0,0
11159,141,893,1,LIVING_DINING_ROOM,2,2,700.0,67.0,1250.0,3,29,200.0,121
7529,141,1192,3,WALK_IN_CLOSET,1,2,1750.0,73.0,1750.0,2,13,0.0,211
22420,500,607,1,LIVING_DINING_ROOM,1,2,700.0,40.0,850.0,1,5,100.0,0
5541,141,496,1,LIVING_DINING_ROOM,1,2,1500.0,53.0,1080.0,2,9,20.0,0
17306,141,951,1,UNCATEGORIZED,1,1,350.0,50.0,950.0,2,6,50.0,0
25311,612,722,24,HALL_CORRIDOR,1,2,2070.0,70.0,790.0,2,17,80.0,0
6761,141,893,2,LIVING_DINING_ROOM,1,2,1400.0,49.0,1431.0,2,12,,0
14843,822,923,6,LIVING_DINING_ROOM,1,1,2980.0,42.0,1490.0,2,10,50.0,0
22257,141,287,12,LIVING_DINING_ROOM,3,6,3950.0,212.0,3950.0,4,19,350.0,116
32445,141,893,1,GARDEN,2,2,0.0,86.0,2700.0,4,13,0.0,91
19561,168,223,6,LIVING_DINING_ROOM,1,2,2070.0,74.0,950.0,1,17,100.0,0
33752,141,299,3,OUTDOOR_HOUSE,2,3,6800.0,84.0,3400.0,4,14,150.0,68
32157,271,356,6,ROOM_BEDROOM,1,1,1500.0,30.0,1150.0,2,8,70.0,1457
6573,473,575,1,,1,1,500.0,,1200.0,,,0.0,0
14839,141,496,6,LIVING_DINING_ROOM,1,1,1430.0,41.0,1430.0,2,8,200.0,236
30566,141,893,5,LIVING_DINING_ROOM,1,2,2500.0,55.0,1790.0,2,15,150.0,340
9381,141,287,4,ROOM_BEDROOM,1,1,500.0,,1065.0,,1,,0
29915,349,440,1,GARDEN,1,2,998.0,42.0,998.0,2,7,120.0,0
